Sentence,Party,Sentiment,Overall Sentiment
Lee’s defense to the charge was weak.,"[[lee],[]]","[[-1],[]]",-1
" On appeal, the Government conceded that the performance of Lee’s attorney had been deficient. ","[[lee,attorney],[government]]","[[-1,-1],[1]]",-1
the performance of Lee’s attorney had been deficient.,"[[lee,attorney],[]]","[[-1,-1],[]]",-1
"To establish that he was prejudiced by that deficient performance, the court explained, Lee was required to show “a reasonable probability that, but for counsel’s errors, he would not have pleaded guilty and would have insisted on going to trial.” ","[[he_1,lee,counsel,he_2],[]]","[[-1,-1,-1,-1],[]]",-1
he was prejudiced by that deficient performance,"[[he],[]]","[[-1],[]]",-1
"To demonstrate that counsel was constitutionally ineffective, a defendant must show that counsel’s representation “fell below an objective standard of reasonableness” and that he was prejudiced as a result. ","[[],[defendant,counsel,he]]","[[],[1,-1,1]]",1
counsel’s representation “fell below an objective standard of reasonableness”,"[[],[counsel]]","[[],[-1]]",-1
that counsel was constitutionally ineffective,"[[],[counsel]]","[[],[-1]]",-1
The first requirement is not at issue in today’s case: The Government concedes that Lee’s plea-stage counsel provided inadequate representation when he assured Lee that he would not be deported if he pleaded guilty.,"[[lee,counsel,he_1,he_2,he_3],[government]]","[[0,-1,-1,0,0],[1]]",-1
Lee’s plea-stage counsel provided inadequate representation,"[[lee,counsel],[]]","[[0,-1],[]]",-1
he would not be deported,"[[he],[]]","[[1],[]]",1
"A claim of ineffective assistance of counsel will often involve a claim of attorney error “during the course of a legal proceeding”—for example, that counsel failed to raise an objection at trial or to present an argument on appeal. ","[[attorney,counsel],[]]","[[-1,-1],[]]",-1
counsel failed to raise an objection at trial or to present an argument on appeal.,"[[counsel],[]]","[[-1],[]]",-1
"A defendant raising such a claim can demonstrate prejudice by showing “a reasonable probability that, but for counsel’s unprofessional errors, the result of the proceeding would have been different.” ","[[counsel],[defendant]]","[[-1],[1]]",0
" for counsel’s unprofessional errors, the result of the proceeding would have been different.” ","[[counsel],[]]","[[-1],[]]",-1
The dissent contends that a defendant must also show that he would have been better off going to trial.,"[[],[defendant,he]]","[[],[1,1]]",1
he would have been better off going to trial.,"[[],[he]]","[[],[0]]",0
The error was instead one that affected Lee’s understanding of the consequences of pleading guilty.,"[[lee],[]]","[[-1],[]]",-1
"Lee, on the other hand, argues he can establish prejudice under Hill because he never would have accepted a guilty plea had he known that he would be deported as a result","[[lee,he_1,he_2,he_3,he_4],[]]","[[1,1,1,1,1],[]]",1
he would be deported as a result,"[[he],[]]","[[1],[]]",1
he never would have accepted a guilty plea,"[[he],[]]","[[0],[]]",0
" Lee insists he would have gambled on trial, risking more jail time for whatever small chance there might be of an acquittal that would let him remain in the United States.","[[lee,he,him],[]]","[[-1,-1,-1],[]]",-1
he would have gambled on trial,"[[he],[]]","[[-1],[]]",-1
" Lee, the Government contends, cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to an acquittal. ","[[lee,his],[government]]","[[1,1],[-1]]",1
"Lee, the Government contends, cannot show prejudice from accepting a plea","[[lee],[government]]","[[1],[-1]]",0
"The Government argues, however, that under Padilla v. Kentucky, a defendant “must convince the court that a decision to reject the plea bargain would have been rational under the circumstances.” ","[[],[government,defendant]]","[[],[1,1]]",1
The Government contends that Lee cannot make that showing because he was going to be deported either way; going to trial would only result in a longer sentence before that inevitable consequence.,"[[lee,he],[government]]","[[-1,-1],[1]]",-1
Petitioner does not dispute that he possessed large quantities of illegal drugs or that the Government had secured a witness who had purchased the drugs directly from him.,"[[petitioner,he,him],[government]]","[[-1,-1,-1],[1]]",-1
he possessed large quantities of illegal drugs,"[[he],[]]","[[-1],[]]",-1
the Government had secured a witness,"[[],[government]]","[[],[1]]",1
"Lee, on the other hand, argues he can establish prejudice under Hill because he never would have accepted a guilty plea had he known that he would be deported as a result. ","[[lee,he_1,he_2,he_3,he_4],[]]","[[1,1,1,1,1],[]]",1
"The Government asks that we, like the Court of Appeals below, adopt a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial.","[[],[defendant,his,government]]","[[],[-1,-1,1]]",1
a defendant with no viable defense cannot show prejudice from the denial of his right to trial,"[[],[defendant,his]]","[[],[-1,-1]]",-1
"As a general matter, it makes sense that a defendant who has no realistic defense to a charge supported by sufficient evidence will be unable to carry his burden of showing prejudice from accepting a guilty plea. ","[[],[defendant,his]]","[[],[-1,-1]]",-1
"But in elevating this general proposition to a per se rule, the Government makes two errors. ","[[],[government]]","[[],[-1]]",-1
"Lee demonstrated as much at his plea colloquy: When the judge warned him that a conviction “could result in your being deported,” and asked “[d]oes that at all affect your decision about whether you want to plead guilty or not,” Lee answered “Yes, Your Honor.” ","[[lee,his,him],[]]","[[-1,-1,-1],[]]",-1
Lee demonstrated as much at his plea colloquy,"[[lee,his],[]]","[[0,0],[]]",0
"you want to plead guilty or not,","[[you],[]]","[[0],[]]",0
" the judge warned him that a conviction “could result in your being deported,”","[[him],[]]","[[-1],[]]",-1
There is no reason to doubt the paramount importance Lee placed on avoiding deportation.,"[[lee],[]]","[[1],[]]",1
the paramount importance Lee placed on avoiding deportation.,"[[lee],[]]","[[1],[]]",1
" But for his attorney’s incompetence, Lee would have known that accepting the plea agreement would certainly lead to deportation.","[[his,attorney],[]]","[[1,-1],[]]",-1
It is instead because defendant obviously weigh their prospects at trial in deciding whether to accept a plea.,"[[],[defendant,their]]","[[],[1,1]]",1
"On appeal, the Government conceded that the performance of Lee’s attorney had been deficient.","[[lee,attorney],[government]]","[[0,-1],[1]]",-1
the performance of Lee’s attorney had been deficient.,"[[lee,attorney],[]]","[[0,-1],[]]",-1
"Lee quickly learned, however, that a prison term was not the only consequence of his plea. ","[[lee,his],[]]","[[-1,-1],[]]",-1
a prison term was not the only consequence of his plea.,"[[his],[]]","[[-1],[]]",-1
" Here Lee knew, correctly, that his prospects of acquittal at trial were grim, and his attorney’s error had nothing to do with that.","[[lee,his_1,his_2,attorney],[]]","[[1,1,1,0],[]]",1
his prospects of acquittal at trial were grim,"[[his],[]]","[[1],[]]",1
"That is true when the defendant’s decision about going to trial turns on his prospects of success and those are affected by the attorney’s error—for instance, where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession.","[[],[defendant,his_1,attorney,his_2,lawyer]]","[[],[1,1,-1,1,-1]]",-1
the defendant’s decision about going to trial turns on his prospects of success and those,"[[],[defendant,his]]","[[],[1,1]]",1
his lawyer should have but did not seek to suppress an improperly obtained confession,"[[],[his,lawyer]]","[[],[0,-1]]",0
"In circumstances where a defendant has admitted his guilt, the evidence against him is overwhelming, and he has no bona fide defense strategy, I see no justification for imposing these costs. ","[[],[defendant,his,him,he]]","[[],[-1,-1,-1,-1]]",-1
" Under its rule, so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance,” ante, at 10, he could allege a plausible claim of ineffective assistance of counsel. ","[[],[defendant,his,counsel,him,he_1,he_2,he_3]]","[[],[1,1,-1,1,1,1,1]]",-1
his counsel omitted or misadvised him on a piece of information during the plea process,"[[],[his,counsel,him]]","[[],[-1,-1,-1]]",-1
"A defendant in petitioner’s shoes, therefore, would have suffered the same deportation consequences regardless of whether he accepted a plea or went to trial. ","[[petitioner],[defendant,he]]","[[1],[-1,-1]]",-1
he accepted a plea or went to trial.,"[[he],[]]","[[-1],[]]",-1
Finding that petitioner has established prejudice in these circumstances turns Strickland on its head.,"[[petitioner],[]]","[[-1],[]]",-1
Petitioner does not dispute that he possessed large quantities of illegal drugs or that the Government had secured a witness who had purchased the drugs directly from him.,"[[petitioner,he,him],[government]]","[[-1,-1,-1],[1]]",-1
he possessed large quantities of illegal drugs,"[[he],[]]","[[-1],[]]",-1
"Petitioner pleaded guilty to federal charges of conspiring to distribute five or more kilograms of cocaine and of distributing cocaine, but reserved the right to contest at sentencing the drug quantity attributable under the conspiracy count.","[[petitioner],[]]","[[1],[]]",1
"Before accepting her plea, the District Court made the inquiries required by Federal Rule of Criminal Procedure 11; told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine, but a 10-year minimum for conspiracy if the Government could show the required 5 kilograms; and explained that by pleading guilty she would be waiving, inter alia, her right ""at trial to remain silent.""","[[her_1,petitioner,she_1,she_2,her_2],[government]]","[[-1,-1,-1,-1,-1],[1]]",-1
"accepting her plea, the District Court made the inquiries required by Federal Rule of Criminal Procedure 11","[[her],[]]","[[-1],[]]",-1
she faced a mandatory minimum of 1 year in prison for distributing cocaine,"[[she],[]]","[[-1],[]]",-1
the Government could show the required 5 kilograms,"[[],[government]]","[[],[1]]",1
"she would be waiving, inter alia","[[she],[]]","[[0],[]]",0
"by pleading guilty she would be waiving, inter alia, her right ""at trial to remain silent.""","[[she,her],[]]","[[-1,-1],[]]",-1
"At her sentencing hearing, three codefendant testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years, and another person testified that petitioner had sold her two ounces of cocaine.","[[her_1,she,her_2],[codefendant]]","[[-1,-1,-1],[1]]",-1
she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years,"[[she],[]]","[[-1],[]]",-1
petitioner had sold her two ounces of cocaine,"[[petitioner,her],[]]","[[-1,-1],[]]",-1
Petitioner put on no evidence and argued that the only reliable evidence showed that she had sold only two ounces of cocaine.,"[[petitioner,she],[]]","[[-1,-1],[]]",-1
Petitioner put on no evidence and argued,"[[petitioner],[]]","[[-1],[]]",-1
she had sold only two ounces of cocaine,"[[she],[]]","[[-1],[]]",-1
"The District Court ruled that as a consequence of petitioner guilty plea, she had no right to remain silent about her crime details; found that the codefendant testimony put her over the 5-kilogram threshold, thus mandating the 10-year minimum; and noted that her failure to testify was a factor in persuading the court to rely on the codefendant testimony.","[[petitioner,she_1,her_2,her_3],[codefendant]]","[[-1,-1,-1,-1],[1]]",-1
" as a consequence of petitioner guilty plea, she had no right to remain silent about her crime details","[[petitioner,she,her],[]]","[[-1,-1,-1],[]]",-1
"the codefendant testimony put her over the 5-kilogram threshold, thus mandating the 10-year minimum","[[her],[codefendant]]","[[-1],[1]]",-1
her failure to testify was a factor in persuading the court to rely on the codefendant testimony,"[[her],[codefendant]]","[[-1],[1]]",0
"Petitioner Amanda Mitchell and 22 other defendant were indicted for offenses arising from a conspiracy to distribute cocaine in Allentown, Pennsylvania, from 1989 to 1994.","[[mitchell],[defendant]]","[[-1],[-1]]",-1
"According to the indictment, the leader of the conspiracy, Harry Riddick, obtained large quantities of cocaine and resold the drug through couriers and street sellers, including petitioner.","[[petitioner],[]]","[[-1],[]]",-1
"Petitioner was charged with one count of conspiring to distribute five or more kilograms of cocaine, in violation of 21 U. S. C. §846, and with three counts of distributing cocaine within 1,000 feet of a school or playground, in violation of §860(a).","[[petitioner],[]]","[[-1],[]]",-1
"Petitioner was charged with one count of conspiring to distribute five or more kilograms of cocaine, in violation of 21 U. S. C. §846","[[petitioner],[]]","[[-1],[]]",-1
"In 1995, without any plea agreement, petitioner pleaded guilty to all four counts.","[[petitioner],[]]","[[-1],[]]",-1
"She reserved the right to contest the drug quantity attributable to her under the conspiracy count, and the District Court advised her the drug quantity would be determined at her sentencing hearing.","[[she,her_1,her_2,her_3],[]]","[[-1,-1,-1,-1],[]]",-1
She reserved the right to contest the drug quantity attributable to her under the conspiracy count,"[[she,her],[]]","[[-1,-1],[]]",-1
the District Court advised her the drug quantity,"[[her],[]]","[[-1],[]]",-1
"Informing petitioner of the penalties for her offenses, the District Judge advised her, ""the range of punishment here is very complex because we don't know how much cocaine the Government going to be able to show you were involved in."" App. 39.","[[petitioner,her,her],[]]","[[-1,-1,-1],[]]",-1
Informing petitioner of the penalties for her offenses,"[[petitioner,her],[]]","[[-1,-1],[]]",-1
how much cocaine the Government going to be able to show you were involved in,"[[],[government]]","[[],[1]]",1
The judge told petitioner she faced a mandatory minimum of one year in prison under §860 for distributing cocaine near a school or playground.,"[[petitioner,she,],[]]","[[-1,-1],[]]",-1
The judge told petitioner,"[[petitioner],[]]","[[0],[]]",0
she faced a mandatory minimum of one year in prison under §860 for distributing cocaine near a school or playground.,"[[she],[]]","[[-1],[]]",-1
"She also faced ""serious punishment depending on the quantity involved"" for the conspiracy, with a mandatory minimum of 10 years in prison under §841 if she could be held responsible for at least 5 kilograms but less than 15 kilograms of cocaine. Id ., at 42.","[[she_1,she_2],[]]","[[-1,-1],[]]",-1
"She also faced ""serious punishment depending on the quantity involved"" for the conspiracy, with a mandatory minimum of 10 years in prison  under §841","[[she],[]]","[[-1],[]]",-1
"By pleading guilty, the District Court explained, petitioner would waive various rights, including ""the right at trial to remain silent under the Fifth Amendment."" Id., at 45.","[[petitioner],[]]","[[-1],[]]",-1
"After the Government explained the factual basis for the charges, the judge, having put petitioner under oath, asked her, ""Did you do that?"" Petitioner answered, ""Some of it."" Id., at 47.","[[petitioner,her,you],[government]]","[[-1,-1,-1],[1]]",-1
"the Government explained the factual basis for the charges, the judge, having put petitioner under oath","[[petitioner],[government]]","[[-1],[1]]",1
"Petitioner answered, ""Some of it.""","[[petitioner],[]]","[[0],[]]",0
"She indicated that, although present for one of the transactions charged as a substantive cocaine distribution count, she had not herself delivered the cocaine to the customer.","[[she_1,she_2],[]]","[[1,1],[]]",1
she had not herself delivered the cocaine to the customer,"[[she],[]]","[[1],[]]",1
The Government maintained she was liable nevertheless as an aider and abettor of the delivery by another courier.,"[[she],[government]]","[[-1],[1]]",-1
she was liable nevertheless as an aider and abettor of the delivery by another courier,"[[she],[]]","[[0],[]]",0
"After discussion with her counsel, petitioner reaffirmed her intention to plead guilty to all the charges.","[[her_1,counsel,petitioner,her_2],[]]","[[-1,-1,-1,-1],[]]",-1
The District Court noted she might have a defense to one count on the theory that she was present but did not aid or abet the transaction.,"[[she_1,she_2],[]]","[[1,1],[]]",1
she might have a defense to one count on the theory,"[[she],[]]","[[1],[]]",1
she was present but did not aid or abet the transaction,"[[she],[]]","[[1],[]]",1
"Petitioner again confirmed her intention to plead guilty, and the District Court accepted the plea.","[[petitioner,her],[]]","[[-1,-1],[]]",-1
Petitioner again confirmed her intention to plead guilty,"[[petitioner],[]]","[[-1],[]]",-1
Three other codefendant had pleaded guilty and agreed to cooperate with the Government.,"[[],[government,codefendant]]","[[],[1,1]]",1
They testified petitioner was a regular seller for ringleader Riddick.,"[[petitioner],[they]]","[[-1],[1]]",-1
Petitioner was a regular seller for ringleader Riddick.,"[[petitioner],[]]","[[0],[]]",0
"At petitioner sentencing hearing, the three adopted their trial testimony, and one of them furnished additional information on the amount of cocaine petitioner sold.","[[petitioner],[one of them]]","[[-1],[1]]",-1
"According to him, petitioner worked two to three times a week, selling 1½ to 2 ounces of cocaine a day, from April 1992 to August 1992.","[[petitioner],[him]]","[[-1],[1]]",-1
"Then, from August 1992 to December 1993 she worked three to five times a week, and from January 1994 to March 1994 she was one of those in charge of cocaine distribution for Riddick. ","[[she_1,she_2],[]]","[[-1,-1],[]]",-1
from January 1994 to March 1994 she was one of those in charge of cocaine distribution for Riddick,"[[she],[]]","[[-1],[]]",-1
"On cross-examination, the codefendant conceded he had not seen petitioner on a regular basis during the relevant period","[[petitioner],[codefendant]]","[[1],[1]]",1
he had not seen petitioner on a regular basis during the relevant period,"[[petitioner],[codefendant]]","[[1],[1]]",1
"Both petitioner and the Government referred to trial testimony by one Alvitta Mack, who had made a series of drug buys under the supervision of law enforcement agents, including three purchases from petitioner totaling two ounces of cocaine in 1992.","[[petitioner],[government]]","[[-1],[1]]",-1
"Petitioner put on no evidence at sentencing, nor did she testify to rebut the Government evidence about drug quantity.","[[petitioner,she],[government]]","[[-1,-1],[1]]",-1
Petitioner put on no evidence at sentencing,"[[petitioner],[]]","[[-1],[]]",-1
"Her counsel argued, however, that the three documented sales to Mack constituted the only evidence of sufficient reliability to be credited in determining the quantity of cocaine attributable to her for sentencing purposes.","[[her_1,counsel,her_2],[]]","[[1,0,1],[]]",1
"After this testimony at the sentencing hearing the District Court ruled that, as a consequence of her guilty plea, petitioner had no right to remain silent with respect to the details of her crimes.","[[her_1,petitioner,her_2],[]]","[[-1,-1,-1],[]]",-1
"as a consequence of her guilty plea, petitioner had no right to remain silent with respect to the details of her crimes.","[[petitioner,her],[]]","[[-1,-1],[]]",-1
The court found credible the testimony indicating petitioner had been a drug courier on a regular basis.,"[[petitioner],[]]","[[-1],[]]",-1
credible the testimony indicating petitioner had been a drug courier on a regular basis.,"[[petitioner],[]]","[[-1],[]]",-1
"The District Court sentenced petitioner to the statutory minimum of 10 years of imprisonment, 6 years of supervised release, and a special assessment of $200.","[[petitioner],[]]","[[-1],[]]",-1
Petitioner reservation of the right to contest the amount of drugs attributable to her did not change the court analysis.,"[[petitioner,her],[]]","[[-1,-1],[]]",-1
Petitioner reservation of the right to contest the amount of drugs attributable to her,"[[petitioner,her],[]]","[[-1,-1],[]]",-1
Mitchell opened herself up to the full range of possible sentences when she was told during her plea colloquy that the penalty for conspiring to distribute cocaine had a maximum of life imprisonment.,"[[Mitchell,she,her],[]]","[[-1,-1,-1],[]]",-1
