Sentence,Aspect,Sentiment,PartyLabel
Petitioner filed a petition for a writ of habeas corpus asserting that the New York procedure for determining voluntariness of a confession was unconstitutional and that $T$ confession was involuntary.,his,1,0
Petitioner filed a petition for a writ of habeas corpus asserting that the New York procedure for determining voluntariness of a confession was unconstitutional and that $T$ confession was involuntary.,petitioner,1,0
"The $T$ attacks this argument as unsound, and, relying on the doctrin",government,1,1
"$T$ complained to the Civil Service Commission, alleging  ",respondent,1,1
"Timothy $T$, Russell Overton, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.",catlett,-1,0
"Timothy $T$, Russell Overton, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", overton,-1,0
"Timothy $T$, Russell Overton, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", rouse,-1,0
"Timothy $T$, Russell Overton, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", smith,-1,0
"Timothy $T$, Russell Overton, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", turner,-1,0
"Timothy $T$, Russell Overton, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", yarborough,-1,0
"And $T$ treatises do not clearly distinguish between the offense of making threats with the intent to extort and the offense of sending threatening letters without such a requirement in their discussions of threat statutes, making it difficult to draw strong inferences about the latter category.",his,-1,0
"respondent had failed in its moving papers to dispute the allegation in $T$ complaint, a statement at her deposition,  and an unsworn statement by a Kress employer,  all to the effect",petitioner,1,0
"respondent had failed in its moving papers to dispute the allegation in $T$ complaint, a statement at her deposition,  and an unsworn statement by a Kress employer,  all to the effect", her,1,0
"Timothy Catlett, Russell Overton, Levy Rouse, Kelvin $T$, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.",smith,-1,0
"Timothy Catlett, Russell Overton, Levy Rouse, Kelvin $T$, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.",catlett,-1,0
"Timothy Catlett, Russell Overton, Levy Rouse, Kelvin $T$, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", overton,-1,0
"Timothy Catlett, Russell Overton, Levy Rouse, Kelvin $T$, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", rouse,-1,0
"Timothy Catlett, Russell Overton, Levy Rouse, Kelvin $T$, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", turner,-1,0
"Timothy Catlett, Russell Overton, Levy Rouse, Kelvin $T$, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", yarborough,-1,0
"his ""speech [could] still be considered as part of $T$ official job duties and not made as a citizen on a matter of public concern.""",his,1,0
"$T$ include the Educational Equality League, 4 the president of the League, another citizen of Philadelphia, and two students attending the city public schools.",Respondents,0,1
Reilly Schedule C entries indicated $T$ intent to exempt the equipment full value.,her,-1,1
Reilly Schedule C entries indicated $T$ intent to exempt the equipment full value.,reilly,-1,1
"On September 15, a trooper called $T$ and asked him to come to headquarters, purportedly to identify personal items the troopers thought belonged to Dixie Thompson.",thompson,-1,0
"On September 15, a trooper called $T$ and asked him to come to headquarters, purportedly to identify personal items the troopers thought belonged to Dixie Thompson.", him,-1,0
$T$ accepted a plea or went to trial.,he,-1,0
petitioner will have made out a claim under 1983 for violation of her equal protection rights if she proves that she was refused service by $T$ because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.,Kress,-1,1
$T$ was interrogated and admitted firing the first shot at the policeman.,he,-1,0
"$T$ entered in column four as part of her claimed exemption in identifying the ""property claimed as exempt"" under §522(l).",she,1,1
"$T$ entered in column four as part of her claimed exemption in identifying the ""property claimed as exempt"" under §522(l).", her,1,1
"Petitioner F. Scott Yeager served as Senior Vice President of Strategic Development for EBS from October 1, 1998, until $T$ employment was terminated a few months before Enron filed for bankruptcy on December 2, 2001.",his,-1,0
"Petitioner F. Scott Yeager served as Senior Vice President of Strategic Development for EBS from October 1, 1998, until $T$ employment was terminated a few months before Enron filed for bankruptcy on December 2, 2001.",petitioner,-1,0
"At the time of both the refusal to serve and the arrest, Miss Adickes was with six young people, all Negroes, who were her students in a Mississippi ""Freedom School"" where $T$ was [398 U.S. 144, 147] teaching that summer. ",she,1,0
"At the time of both the refusal to serve and the arrest, Miss Adickes was with six young people, all Negroes, who were her students in a Mississippi ""Freedom School"" where $T$ was [398 U.S. 144, 147] teaching that summer. ",Adickes,1,0
"Finally, Kress pointed to the statements in petitioner own deposition that she had no knowledge of any communication between any Kress employer and any member of the Hattiesburg police, and was relying on circumstantial evidence to support $T$ [398 U.S. 144, 156] contention that there was an arrangement between Kress and the police.",her,-1,0
"Finally, Kress pointed to the statements in petitioner own deposition that she had no knowledge of any communication between any Kress employer and any member of the Hattiesburg police, and was relying on circumstantial evidence to support $T$ [398 U.S. 144, 156] contention that there was an arrangement between Kress and the police.",petitioner,-1,0
"Finally, Kress pointed to the statements in petitioner own deposition that she had no knowledge of any communication between any Kress employer and any member of the Hattiesburg police, and was relying on circumstantial evidence to support $T$ [398 U.S. 144, 156] contention that there was an arrangement between Kress and the police.", she,-1,0
$T$ began “listening to more violent music” and posting self-styled “rap” lyrics inspired by the music.,elonis,-1,0
"Shatzer was surprised because $T$ thought that the investigation had been closed, but Hoover explained they had opened a new file.",he,-1,1
"Shatzer was surprised because $T$ thought that the investigation had been closed, but Hoover explained they had opened a new file.",shatzer,-1,1
"Shortly after petitioner had filed his petition for certiorari in this Court and $T$ had entered his opposition, the parties reached an agreement to liquidate damages",respondent,0,1
"Shortly after petitioner had filed his petition for certiorari in this Court and $T$ had entered his opposition, the parties reached an agreement to liquidate damages", his,0,1
respondent pretrial showings were insufficient to withstand $T$ motion for summary judgment.,Petitioner,1,0
"as a consequence of her guilty plea, $T$ had no right to remain silent with respect to the details of her crimes.",petitioner,-1,0
"as a consequence of her guilty plea, $T$ had no right to remain silent with respect to the details of her crimes.", her,-1,0
Butterfield participated in the conspiracy to conceal his unlawful discharge and prevent $T$ reemployment,his,-1,0
Butterfield participated in the conspiracy to conceal his unlawful discharge and prevent $T$ reemployment,Butterfield,-1,0
Butterfield participated in the conspiracy to conceal his unlawful discharge and prevent $T$ reemployment, his,-1,0
"Because they did not leave, the librarian called the Hattiesburg chief of police who told petitioner and $T$ students that the library was closed, and ordered them to leave.",her,0,0
"Because they did not leave, the librarian called the Hattiesburg chief of police who told petitioner and $T$ students that the library was closed, and ordered them to leave.",petitioner,0,0
"Whatever might be a judge view of the voluntariness of a confession, the jury in passing on a $T$ guilt or innocence is, in my judgment, entitled to hear and determine voluntariness of a confession along with other factual issues on which its verdict must rest.",defendant,1,1
"It literally alleges nothing more than that Dr. $T$, the defendant physicians, Midway Hospital, and Summit Health, Ltd. are ""engaged in interstate commerce.""",Pinhas,0,1
"$T$ ""did not knowingly and willfully participate in the scheme to defraud described in the conspiracy, securities fraud, and wire fraud counts.""",petitioner,1,0
"The psychologist testified that Thompson believed that because of $T$ age he was beyond any severe penalty of the law, and accordingly did not believe there would be any severe repercussions from his behavior.",his,1,0
"The psychologist testified that Thompson believed that because of $T$ age he was beyond any severe penalty of the law, and accordingly did not believe there would be any severe repercussions from his behavior.",thompson,1,0
"The psychologist testified that Thompson believed that because of $T$ age he was beyond any severe penalty of the law, and accordingly did not believe there would be any severe repercussions from his behavior.", his,1,0
"The psychologist testified that Thompson believed that because of $T$ age he was beyond any severe penalty of the law, and accordingly did not believe there would be any severe repercussions from his behavior.", he,1,0
"Rita denied that the Government agent had asked $T$ for the PPSH kit, and also denied that he had spoken soon thereafter about the PPSH kit to someone at InterOrdnance",him,1,0
"Rita denied that the Government agent had asked $T$ for the PPSH kit, and also denied that he had spoken soon thereafter about the PPSH kit to someone at InterOrdnance",rita,1,0
"Rita denied that the Government agent had asked $T$ for the PPSH kit, and also denied that he had spoken soon thereafter about the PPSH kit to someone at InterOrdnance", he,1,0
$T$ had not investigated obvious signs,trial counsel,-1,0
"At $T$ sentencing hearing, three codefendant testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years, and another person testified that petitioner had sold her two ounces of cocaine.",her,-1,0
"At $T$ sentencing hearing, three codefendant testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years, and another person testified that petitioner had sold her two ounces of cocaine.", she,-1,0
"At $T$ sentencing hearing, three codefendant testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years, and another person testified that petitioner had sold her two ounces of cocaine.", her,-1,0
"by pleading guilty she would be waiving, inter alia, $T$ right ""at trial to remain silent.""",her,-1,0
"by pleading guilty she would be waiving, inter alia, $T$ right ""at trial to remain silent.""",she,-1,0
"The $T$ argues that Lee cannot “convince the court that a decision to reject the plea bargain would have been rational under the circumstances,” Padilla v. Kentucky, 559 U.S.356, 372, since deportation would almost certainly result from a trial.",government,1,1
"Shatzer denied ordering his son to perform fellatio on $T$, but admitted to masturbating in front of his son from a distance of less than three feet.",him,-1,1
"Shatzer denied ordering his son to perform fellatio on $T$, but admitted to masturbating in front of his son from a distance of less than three feet.",shatzer,-1,1
"Shatzer denied ordering his son to perform fellatio on $T$, but admitted to masturbating in front of his son from a distance of less than three feet.", his,-1,1
Elonis requested a jury instruction that “the government must prove that $T$ intended to communicate a true threat.”,he,1,0
Elonis requested a jury instruction that “the government must prove that $T$ intended to communicate a true threat.”,elonis,1,0
"Trial counsel performance in $T$ case falls short under that standard, because the attorney behavior was not ""reasonable considering all the circumstances.""",Rompilla,-1,0
"Trial counsel performance in $T$ case falls short under that standard, because the attorney behavior was not ""reasonable considering all the circumstances.""",Trial counsel,-1,0
"Trial counsel performance in $T$ case falls short under that standard, because the attorney behavior was not ""reasonable considering all the circumstances.""", attorney,-1,0
"As part of their investigation, police officers in Fairbanks, Alaska, questioned Thompson about $T$ role in the murder, and Thompson confessed.",his,1,0
"As part of their investigation, police officers in Fairbanks, Alaska, questioned Thompson about $T$ role in the murder, and Thompson confessed.",thompson,1,0
"$T$ answered, ""Some of it.""",petitioner,0,0
certified $T$ provided each class member with notice through first-class mail.,respondents,1,1
"Reilly asserted that because her Schedule C notified Schwab of her intent to exempt the full value of her business equipment, $T$ was obliged to object if he wished to preserve the estate right to retain any value in the equipment in excess of the $10,718 she estimated.",he,-1,0
"Reilly asserted that because her Schedule C notified Schwab of her intent to exempt the full value of her business equipment, $T$ was obliged to object if he wished to preserve the estate right to retain any value in the equipment in excess of the $10,718 she estimated.",schwab,-1,0
"Reilly asserted that because her Schedule C notified Schwab of her intent to exempt the full value of her business equipment, $T$ was obliged to object if he wished to preserve the estate right to retain any value in the equipment in excess of the $10,718 she estimated.", he,-1,0
his counsel’s deficient performance deprived $T$ of a trial by causing him to accept a plea,him,-1,1
his counsel’s deficient performance deprived $T$ of a trial by causing him to accept a plea,his,-1,1
his counsel’s deficient performance deprived $T$ of a trial by causing him to accept a plea, counsel,-1,1
his counsel’s deficient performance deprived $T$ of a trial by causing him to accept a plea, him,-1,1
"The same, without question, is true of the properties involved here, and the $T$’s attempt to characterize these properties as “instruments” of the drug trade must meet the same fate as Pennsylvania’s effort to characterize the 1958 Plymouth sedan as “contraband.”",government,1,1
$T$ Rompilla was convicted of murder and other crimes.,petitioner,-1,0
$T$ relies particularly on the deposition testimony of Air Force Secretary Seamans,Harlow,1,0
"$T$ ""speech [could] still be considered as part of his official job duties and not made as a citizen on a matter of public concern.""",his,1,0
"$T$ ""speech [could] still be considered as part of his official job duties and not made as a citizen on a matter of public concern.""", his,1,0
she proves that she was refused service by $T$ because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.,Kress,-1,1
" Here Lee knew, correctly, that his prospects of acquittal at trial were grim, and $T$ attorney’s error had nothing to do with that.",his,1,0
" Here Lee knew, correctly, that his prospects of acquittal at trial were grim, and $T$ attorney’s error had nothing to do with that.",lee,1,0
" Here Lee knew, correctly, that his prospects of acquittal at trial were grim, and $T$ attorney’s error had nothing to do with that.", his,1,0
$T$ conviction was affirmed on appeal,his,-1,0
a reasonable person would regard $T$’s communications as threats,elonis,-1,0
"Deciding the motion on the papers submitted, the trial court ruled that Thompson was not ""in custody"" for Miranda purposes, therefore the troopers had no obligation to inform $T$ of his Miranda rights.",him,-1,0
"Deciding the motion on the papers submitted, the trial court ruled that Thompson was not ""in custody"" for Miranda purposes, therefore the troopers had no obligation to inform $T$ of his Miranda rights.",thompson,-1,0
"Deciding the motion on the papers submitted, the trial court ruled that Thompson was not ""in custody"" for Miranda purposes, therefore the troopers had no obligation to inform $T$ of his Miranda rights.", his,-1,0
"The $T$ position was that the extra fact of serious bodily injury raising the penalty range required no jury finding because it was only a condition for imposing an enhanced sentence, up to a judge, not an element of a more serious crime, subject to the right to a jury determination.",government,1,1
"Left without transportation, Thompson accepted the troopers offer of a ride to $T$ friend house.",his,-1,0
"Left without transportation, Thompson accepted the troopers offer of a ride to $T$ friend house.",thompson,-1,0
$T$ faced a mandatory minimum of one year in prison under §860 for distributing cocaine near a school or playground.,she,-1,0
defense counsel efforts to find mitigating evidence by other means were enough to free $T$ from further enquiry,them,1,1
defense counsel efforts to find mitigating evidence by other means were enough to free $T$ from further enquiry,defense counsel,1,1
affirmed over $T$ contentions that the Due Process Clause of the Fourteenth Amendment prevented Kansas from adjudicating the claims of all the class members,petitioner,-1,0
"$T$ found him uninterested in helping, as on their visit to his prison to go over a proposed mitigation strategy,",counsel,0,0
"$T$ found him uninterested in helping, as on their visit to his prison to go over a proposed mitigation strategy,", him,-1,0
"$T$ found him uninterested in helping, as on their visit to his prison to go over a proposed mitigation strategy,", his,-1,0
The Government frankly concedes that the case with respect to $T$ 'depends in large part ... upon a development and collocation of circumstances tending to sustain the inferences necessary to support the verdict'.,Glasser,1,0
"In particular, there were three circumstances which made the attorney failure to examine $T$ prior conviction file unreasonable.",Rompilla,-1,0
"In particular, there were three circumstances which made the attorney failure to examine $T$ prior conviction file unreasonable.",attorney,-1,0
Reilly further informed the Bankruptcy Court that exempting her business equipment from the estate was so important to $T$ that she would dismiss her bankruptcy case if doing so was the only way to avoid the equipment sale at auction.,her,-1,1
Reilly further informed the Bankruptcy Court that exempting her business equipment from the estate was so important to $T$ that she would dismiss her bankruptcy case if doing so was the only way to avoid the equipment sale at auction.,reilly,-1,1
Reilly further informed the Bankruptcy Court that exempting her business equipment from the estate was so important to $T$ that she would dismiss her bankruptcy case if doing so was the only way to avoid the equipment sale at auction., her,-1,1
Reilly further informed the Bankruptcy Court that exempting her business equipment from the estate was so important to $T$ that she would dismiss her bankruptcy case if doing so was the only way to avoid the equipment sale at auction., she,-1,1
"$T$ was sentenced to death, Miss Elliottt to a prison [378 U.S. 368, 376] term.",Jackson,-1,0
"There is, however, a dispute about what Churchill actually said, and therefore about whether $T$ were constitutionally permitted to fire Churchill for her statements.",Petitioner,-1,0
"$T$ conviction was affirmed by the New York Court of Appeals, 10 N. Y. 2d 780, 177 N. E. 2d 59, its remittitur being amended to show that it had necessarily passed upon the voluntariness of the confession and had found that Jackson constitutional rights had not been violated.",Jackson,-1,0
"The conspiracy count alleges, inter alia, that Kress and the Hattiesburg police ""conspired together to deprive plaintiff of $T$ right to enjoy equal treatment and service in a place of public accommodation.""",her,1,0
"During the plea process, Lee repeatedly asked his $T$ whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.",attorney,0,0
"During the plea process, Lee repeatedly asked his $T$ whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.",lee,0,0
"During the plea process, Lee repeatedly asked his $T$ whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", his,0,0
"During the plea process, Lee repeatedly asked his $T$ whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", attorney,0,0
"During the plea process, Lee repeatedly asked his $T$ whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", he,0,0
"During the plea process, Lee repeatedly asked his $T$ whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", him,0,0
"During a fight with $T$ estranged girlfriend in March 1975, petitioner Melvin Tyler shot and killed their 20-day-old daughter.",his,-1,0
"The District Court granted $T$ motion for summary judgment, holding",franks,1,1
"During the plea process, Lee repeatedly asked his attorney whether $T$ would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.",he,0,0
"During the plea process, Lee repeatedly asked his attorney whether $T$ would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.",lee,0,0
"During the plea process, Lee repeatedly asked his attorney whether $T$ would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", his,0,0
"During the plea process, Lee repeatedly asked his attorney whether $T$ would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", attorney,0,0
"During the plea process, Lee repeatedly asked his attorney whether $T$ would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", he,0,0
"During the plea process, Lee repeatedly asked his attorney whether $T$ would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.", him,0,0
$T$ is entitled to qualified immunity for the claims against him in his individual capacity.,franks,1,1
$T$ is entitled to qualified immunity for the claims against him in his individual capacity., his,1,1
$T$ is entitled to qualified immunity for the claims against him in his individual capacity., him,1,1
"petitioner ""did not dispute"" the $T$ theory",Government,1,1
exempting her business equipment from the estate was so important to $T$,her,-1,1
exempting her business equipment from the estate was so important to $T$, her,-1,1
$T$ be certified to stand trial as an adult.,he,1,0
The attorney told Lee that $T$ would not be deported as a result of pleading guilty.,he,1,0
The attorney told Lee that $T$ would not be deported as a result of pleading guilty.,attorney,0,0
The attorney told Lee that $T$ would not be deported as a result of pleading guilty., lee,1,0
announcing an intention to introduce testimony about $T$ similar prior offense,Rompilla,-1,0
Harlow discussed $T$ dismissal with Air Force Secretary Robert Seamans.,Fitzgerald,0,1
a defendant with no viable defense cannot show prejudice from the denial of $T$ right to trial,his,-1,1
a defendant with no viable defense cannot show prejudice from the denial of $T$ right to trial,defendant,-1,1
"$T$ ""intended"" to claim an exemption for the full value of her business equipment",she,1,1
"$T$ ""intended"" to claim an exemption for the full value of her business equipment", her,1,1
"Timothy Catlett, Russell $T$, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.",overton,-1,0
"Timothy Catlett, Russell $T$, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.",catlett,-1,0
"Timothy Catlett, Russell $T$, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", rouse,-1,0
"Timothy Catlett, Russell $T$, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", smith,-1,0
"Timothy Catlett, Russell $T$, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", turner,-1,0
"Timothy Catlett, Russell $T$, Levy Rouse, Kelvin Smith, Charles and Christopher Turner, and Clifton Yarborough—and several others were indicted for the kidnaping, robbery, and murder of Catherine Fuller.", yarborough,-1,0
the defendant’s decision about going to trial turns on $T$ prospects of success and those,his,1,1
the defendant’s decision about going to trial turns on $T$ prospects of success and those,defendant,1,1
Both $T$ and Perkins-Graham were nurses working at McDonough District Hospita,Churchill,0,1
"Elonis’s posts frequently included crude, degrading, and violent material about $T$ soon-to-be ex-wife.",his,-1,0
"Elonis’s posts frequently included crude, degrading, and violent material about $T$ soon-to-be ex-wife.",elonis,-1,0
alleging that Franks had violated the First Amendment by firing $T$ in retaliation for testifying against Schmitz.,him,-1,0
The President explicitly stated at one point that $T$ previously had been confused,he,-1,0
The President explicitly stated at one point that $T$ previously had been confused,president,-1,0
"She reserved the right to contest the drug quantity attributable to her under the conspiracy count, and the District Court advised her the drug quantity would be determined at $T$ sentencing hearing.",her,-1,0
"She reserved the right to contest the drug quantity attributable to her under the conspiracy count, and the District Court advised her the drug quantity would be determined at $T$ sentencing hearing.",she,-1,0
"She reserved the right to contest the drug quantity attributable to her under the conspiracy count, and the District Court advised her the drug quantity would be determined at $T$ sentencing hearing.", her,-1,0
"respondent Susan Burrow, the current Acting President of CACC, replaced$T$", him,0,1
"respondent Susan Burrow, the current Acting President of CACC, replaced$T$",respondent Susan Burrow,0,1
"The Commission rejected this claim, but concluded that $T$ dismissal offended applicable regulations because it was motivated by ""reasons purely personal to"" respondent.",respondent,-1,1
The troopers did not inform $T$ of his Miranda rights.,thompson,1,0
The troopers did not inform $T$ of his Miranda rights., his,1,0
$T$ was on trial--an intentional criminal act,he,-1,0
$T$ had committed the murder at issue a mere three months after his release from prison on the earlier conviction.,Rompilla,-1,0
$T$ had committed the murder at issue a mere three months after his release from prison on the earlier conviction., his,-1,0
$T$ performance in Rompilla case falls short under that standard,Trial counsel,-1,0
$T$ performance in Rompilla case falls short under that standard, Rompilla,-1,0
"$T$ was entitled to an attorney, either retained or appointed.",he,-1,0
"A claim of ineffective assistance of counsel will often involve a claim of $T$ error “during the course of a legal proceeding”—for example, that counsel failed to raise an objection at trial or to present an argument on appeal. ",attorney,-1,0
"A claim of ineffective assistance of counsel will often involve a claim of $T$ error “during the course of a legal proceeding”—for example, that counsel failed to raise an objection at trial or to present an argument on appeal. ", counsel,-1,0
"Kress and the Hattiesburg police ""conspired together to deprive plaintiff of $T$ right to enjoy equal treatment and service in a place of public accommodation.""",her,1,0
"Petitioner argued that although she had no knowledge of an agreement between Kress and the police, the sequence of events created a substantial enough possibility of a conspiracy to allow $T$ to proceed to trial, especially given the fact that the non-circumstantial evidence of the conspiracy could only come from adverse witnesses.",her,1,0
